             PESQUISA FILTRO-A1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mês,RECIBO,Dt. Lançamento,Dt. Vec.,TIPO DOC.,Nº DOC.,ENTRADAS / SAÍDAS,FORNECEDORES,CÓD. DIZIMISTA,NOME DIZIMISTA,FUNÇÃO,OBS.,Valor,Conta,Pago?,TIPO LANÇ.,HISTÓRICO,SITUAÇÃO
1,02109,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE MORIÁ,00046,GILSON CARLOS P. SENADO,DC.,DEP. BANCARIO," R$ 596,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-GILSON CARLOS P. SENADO MONTE MORIÁ - RECIBO -2109,VENCIDO
1,02488,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00273,MARCUS VINICIUS LIMA MONTEIRO,PB.,DEP. BANCARIO," R$ 940,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-MARCUS VINICIUS LIMA MONTEIRO TEMPLO CENTRAL - RECIBO -2488,VENCIDO
1,04977,8-jan.-23,8-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00225,OSVALDO SOUZA,PR. ,," R$ 124,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-OSVALDO SOUZA TEMPLO CENTRAL - RECIBO -4977,VENCIDO
1,04978,8-jan.-23,8-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00295,FRANCISCO MATOS,AUX.,," R$ 122,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-FRANCISCO MATOS TEMPLO CENTRAL - RECIBO -4978,VENCIDO
1,02488,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00273,MARCUS VINICIUS LIMA MONTEIRO,PB.,DEP. BANCARIO," R$ 940,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-MARCUS VINICIUS LIMA MONTEIRO TEMPLO CENTRAL - RECIBO -2488,VENCIDO
1,02492,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00386,EDIMILSON P. GOMES,PR. ,," R$ 310,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-EDIMILSON P. GOMES TEMPLO CENTRAL - RECIBO -2492,VENCIDO
1,02496,5-jan.-23,5-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00058,JEFFERSON RIBEIRO,PB.,," R$ 20,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-JEFFERSON RIBEIRO TEMPLO CENTRAL - RECIBO -2496,VENCIDO
1,02497,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,SHALOM,00016,BELARMINO MENDES,PB.,," R$ 120,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-BELARMINO MENDES SHALOM - RECIBO -2497,VENCIDO
1,02498,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,NOVA VIDA,00198,EDILSON SANTOS CORREIA,PB.,," R$ 19,00 ",CAIXA IGREJA,SIM,RECEITA,,VENCIDO
1,02499,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00077,LUIZ CARDOSO DA SILVA,DC.,," R$ 120,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-LUIZ CARDOSO DA SILVA TEMPLO CENTRAL - RECIBO -2499,VENCE HOJE
1,02489,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00384,ELITO FERREIRA,PR. ,," R$ 220,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-ELITO FERREIRA TEMPLO CENTRAL - RECIBO -2489,VENCIDO
1,04975,7-jan.-23,7-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00312,DAVI DUTRA,PB.,," R$ 150,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA OFERTA AVULSA-DAVI DUTRA TEMPLO CENTRAL - RECIBO -4975,VENCIDO
1,02499,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00077,LUIZ CARDOSO DA SILVA,DC.,," R$ 120,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-LUIZ CARDOSO DA SILVA TEMPLO CENTRAL - RECIBO -2499,VENCE HOJE
1,02489,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00384,ELITO FERREIRA,PR. ,," R$ 220,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-ELITO FERREIRA TEMPLO CENTRAL - RECIBO -2489,VENCIDO
1,04975,7-jan.-23,7-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00312,DAVI DUTRA,PB.,," R$ 150,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA OFERTA AVULSA-DAVI DUTRA TEMPLO CENTRAL - RECIBO -4975,VENCIDO
1,02111,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00234,WILKLERSON DUTRA,DC.,DEP. BANCARIO," R$ 58,39 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-WILKLERSON DUTRA TEMPLO CENTRAL - RECIBO -2111,VENCIDO
1,02112,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00234,WILKLERSON DUTRA,DC.,DEP.BANCARIO," R$ 35,00 ",CAIXA IGREJA,SIM,RECEITA,DEP.BANCARIOENTRADA DÍZIMO OBREIRO-WILKLERSON DUTRA TEMPLO CENTRAL - RECIBO -2112,VENCIDO
1,02119,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE HOREBE,00040,ANTONIO FERNANDO ATAIDE SANTOS,DC.,," R$ 100,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-ANTONIO FERNANDO ATAIDE SANTOS MONTE HOREBE - RECIBO -2119,VENCIDO
1,02120,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE HOREBE,00383,FRANCISCO CHAGAS LOURO,DC.,," R$ 130,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-FRANCISCO CHAGAS LOURO MONTE HOREBE - RECIBO -2120,VENCIDO
1,02121,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,CONQUISTA,00248,OILES GONÇALVES MACHADO,DC.,," R$ 14,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-OILES GONÇALVES MACHADO CONQUISTA - RECIBO -2121,VENCIDO
1,02122,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO OBREIRO,CONQUISTA,00222,JOAO BATISTA DA COSTA,DC.,," R$ 122,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-JOAO BATISTA DA COSTA CONQUISTA - RECIBO -2122,VENCIDO
1,02123,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,GALILEIA,00106,SAMUEL FARIAS LOPES,DC.,," R$ 120,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-SAMUEL FARIAS LOPES GALILEIA - RECIBO -2123,VENCE HOJE
1,02124,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,NOVA VIDA,00367,HERICLES GALVAO,DC,," R$ 90,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-HERICLES GALVAO NOVA VIDA - RECIBO -2124,VENCE HOJE
1,00334,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,DIZIMO JOELMA BEATRIZ/DEP. BANCARIO," R$ 105,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO JOELMA BEATRIZ/DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -334,VENCIDO
1,00335,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,NOVA ALIANÇA,,,,DIZIMO GABRIEL TRINDADE/DEP. BANCARIO," R$ 186,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO GABRIEL TRINDADE/DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- NOVA ALIANÇA - RECIBO -335,VENCIDO
1,00336,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,ALTO REFÚGIO,,,,DIZIMO FRANCILENE TEIXEIRA/ DEP. BANCARIO," R$ 573,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO FRANCILENE TEIXEIRA/ DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- ALTO REFÚGIO - RECIBO -336,VENCIDO
1,00337,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,ALTO REFÚGIO,,,,DIZIMI FRANCILENE TEIXEIRA/DEP. BANCARIO," R$ 30,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMI FRANCILENE TEIXEIRA/DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- ALTO REFÚGIO - RECIBO -337,VENCIDO
1,00338,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MARANATA,,,,DIZIMO JAEL FARIAS/ DEP. BANCARIO," R$ 47,30 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO JAEL FARIAS/ DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- MARANATA - RECIBO -338,VENCIDO
1,00339,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,DIZIMO  AUCIONE DE SOUZA/ DEP. BANCARIO," R$ 111,69 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO  AUCIONE DE SOUZA/ DEP. BANCARIOENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -339,VENCIDO
1,00340,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,DIZIMO REGINA COSTA," R$ 18,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO REGINA COSTAENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -340,VENCIDO
1,00341,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,BETEL,,,,DIZIMO ANTONIO ALBUQUERQUE," R$ 20,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO ANTONIO ALBUQUERQUEENTRADA DÍZIMO DE CONGR.- BETEL - RECIBO -341,VENCIDO
1,00342,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,FRUTOS DA FÉ,,,,DIZIMO LEILTON SILVA MACIEL," R$ 415,30 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO LEILTON SILVA MACIELENTRADA DÍZIMO DE CONGR.- FRUTOS DA FÉ - RECIBO -342,VENCIDO
1,00343,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,DIZIMO ELAINE DE FATIMA S. FERREIRA," R$ 122,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO ELAINE DE FATIMA S. FERREIRAENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -343,VENCIDO
1,02500,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,FRUTOS DA FE II,00405,MAX LENON D ANDRADE,DC.,," R$ 200,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-MAX LENON D ANDRADE FRUTOS DA FE II - RECIBO -2500,VENCE HOJE
1,01058,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,SHALOM,,,,REF.1/23," R$ 105,00 ",CAIXA IGREJA,SIM,RECEITA,REF. 01/23ENTRADA OFERTAS DE CULTOS- SHALOM - RECIBO -1058,VENCIDO
1,00343,3-jan.-23,3-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,DIZIMO ELAINE DE FATIMA S. FERREIRA," R$ 122,00 ",CAIXA IGREJA,SIM,RECEITA,DIZIMO ELAINE DE FATIMA S. FERREIRAENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -343,VENCIDO
1,02500,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO OBREIRO,FRUTOS DA FE II,00405,MAX LENON D ANDRADE,DC.,," R$ 200,00 ",CAIXA IGREJA,SIM,RECEITA,ENTRADA DÍZIMO OBREIRO-MAX LENON D ANDRADE FRUTOS DA FE II - RECIBO -2500,VENCE HOJE
1,02020,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,TEMPLO CENTRAL,,,,REF.1/23," R$ 334,25 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- TEMPLO CENTRAL - RECIBO -2020,VENCIDO
1,01079,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,PROMESSA DE DEUS,,,,REF.1/23," R$ 33,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- PROMESSA DE DEUS - RECIBO -1079,VENCIDO
1,01079,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,PROMESSA DE DEUS,,,,REF.1/23," R$ 215,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- PROMESSA DE DEUS - RECIBO -1079,VENCIDO
1,01647,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,PERSEVERANÇA,,,,REF.1/23," R$ 47,25 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- PERSEVERANÇA - RECIBO -1647,VENCIDO
1,01647,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,PERSEVERANÇA,,,,REF.1/23," R$ 57,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- PERSEVERANÇA - RECIBO -1647,VENCIDO
1,01961,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,MONTE DAS OLIVEIRAS,,,,REF.1/23," R$ 73,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- MONTE DAS OLIVEIRAS - RECIBO -1961,VENCIDO
1,01961,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE DAS OLIVEIRAS,,,,REF.1/23," R$ 610,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE DAS OLIVEIRAS - RECIBO -1961,VENCIDO
1,5262,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,CONQUISTA,,,,REF.1/23," R$ 39,70 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- CONQUISTA - RECIBO -1351,VENCIDO
1,01351,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,CONQUISTA,,,,REF.1/23," R$ 290,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- CONQUISTA - RECIBO -1351,VENCIDO
1,02149,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,MONTE HOREBE,,,,REF.1/23," R$ 81,90 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- MONTE HOREBE - RECIBO -2149,VENCIDO
1,02149,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE HOREBE,,,,REF.1/23," R$ 947,90 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE HOREBE - RECIBO -2149,VENCIDO
1,02089,5-jan.-23,5-jan.-23,,,ENTRADA OFERTAS DE CULTOS,ROCHA ETERNA,,,,REF.1/23," R$ 113,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- ROCHA ETERNA - RECIBO -2089,VENCIDO
1,02118,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,LÍRIOS DOS VALES,,,,REF.1/23," R$ 25,30 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- LÍRIOS DOS VALES - RECIBO -2118,VENCIDO
1,02118,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,LÍRIOS DOS VALES,,,,REF.1/23," R$ 421,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- LÍRIOS DOS VALES - RECIBO -2118,VENCIDO
1,01938,9-jan.-23,9-jan.-23,,,ENTRADA OFERTAS DE CULTOS,MONTE CARMELO,,,,REF.1/23," R$ 94,55 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- MONTE CARMELO - RECIBO -1938,VENCIDO
1,01938,9-jan.-23,9-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE CARMELO,,,,REF.1/23," R$ 1.925,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE CARMELO - RECIBO -1938,VENCIDO
1,01036,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,GALILEIA,,,,REF.1/23," R$ 25,75 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- GALILEIA - RECIBO -1036,VENCIDO
1,01868,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,NOVA VIDA,,,,REF.1/23," R$ 62,75 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- NOVA VIDA - RECIBO -1868,VENCIDO
1,01868,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,NOVA VIDA,,,,REF.1/23," R$ 610,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- NOVA VIDA - RECIBO -1868,VENCIDO
1,01622,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,FRUTOS DA FE II,,,,REF.1/23," R$ 59,70 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- FRUTOS DA FE II - RECIBO -1622,VENCIDO
1,01868,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,NOVA VIDA,,,,REF.1/23," R$ 62,75 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- NOVA VIDA - RECIBO -1868,VENCIDO
1,01919,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE TABOR,,,,REF.1/23," R$ 192,75 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE TABOR - RECIBO -1919,VENCIDO
1,01755,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,PORTA DAS OVELHAS,,,,REF.1/23," R$ 109,55 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- PORTA DAS OVELHAS - RECIBO -1755,VENCIDO
1,01755,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,PORTA DAS OVELHAS,,,,REF.1/23," R$ 1.976,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- PORTA DAS OVELHAS - RECIBO -1755,VENCIDO
1,01844,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,MONTE MORIÁ,,,,REF.1/23," R$ 38,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- MONTE MORIÁ - RECIBO -1844,VENCIDO
1,01844,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE MORIÁ,,,,REF.1/23," R$ 464,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE MORIÁ - RECIBO -1844,VENCIDO
1,01119,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,CHAMA VIVA,,,,REF.1/23," R$ 60,50 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- CHAMA VIVA - RECIBO -1119,VENCIDO
1,01844,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,MONTE MORIÁ,,,,REF.1/23," R$ 38,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- MONTE MORIÁ - RECIBO -1844,VENCIDO
1,01844,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,MONTE MORIÁ,,,,REF.1/23," R$ 464,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- MONTE MORIÁ - RECIBO -1844,VENCIDO
1,01119,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,CHAMA VIVA,,,,REF.1/23," R$ 60,50 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- CHAMA VIVA - RECIBO -1119,VENCIDO
1,01119,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,CHAMA VIVA,,,,REF.1/23," R$ 300,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- CHAMA VIVA - RECIBO -1119,VENCIDO
1,01671,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,REDENÇÃO,,,,REF.1/23," R$ 71,65 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- REDENÇÃO - RECIBO -1671,VENCIDO
1,01671,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,REDENÇÃO,,,,REF.1/23," R$ 140,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- REDENÇÃO - RECIBO -1671,VENCIDO
1,01893,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,DEUS FORTE,,,,REF.1/23," R$ 39,20 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- DEUS FORTE - RECIBO -1893,VENCIDO
1,01893,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,DEUS FORTE,,,,REF.1/23," R$ 570,10 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- DEUS FORTE - RECIBO -1893,VENCIDO
1,02190,10-jan.-23,10-jan.-23,,,ENTRADA OFERTAS DE CULTOS,ALTO REFÚGIO,,,,REF.1/23," R$ 71,55 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA OFERTAS DE CULTOS- ALTO REFÚGIO - RECIBO -2190,VENCIDO
1,02190,10-jan.-23,10-jan.-23,,,ENTRADA DÍZIMO DE CONGR.,ALTO REFÚGIO,,,,REF.1/23," R$ 1.070,00 ",CAIXA IGREJA,SIM,RECEITA,REF.1/23ENTRADA DÍZIMO DE CONGR.- ALTO REFÚGIO - RECIBO -2190,VENCIDO
